TABLE_NAME,TABLE_COMMENT,COLUMN_NAME,DATA_TYPE,COLUMN_TYPE,COLUMN_KEY,IS_NULLABLE,COLUMN_DEFAULT,EXTRA,COLUMN_COMMENT
comment,,comment_id,int,int,PRI,NO,NULL,auto_increment,
comment,,post_id,int,int,MUL,NO,NULL,,
comment,,member_id,int,int,MUL,NO,NULL,,
comment,,content,varchar,varchar(200),,NO,NULL,,
comment,,like_count,int,int,,YES,NULL,,
comment,,created,datetime,datetime,,NO,NULL,,
comment,,modified,datetime,datetime,,YES,NULL,,
vote,,post_id,int,int,MUL,YES,NULL,,
vote,,comment_id,int,int,MUL,YES,NULL,,
vote,,member_id,int,int,MUL,NO,NULL,,
vote,,is_like,tinyint,tinyint,,NO,NULL,,
post,,post_id,int,int,PRI,NO,NULL,auto_increment,
post,,member_id,int,int,MUL,NO,NULL,,
post,,title,varchar,varchar(45),,YES,NULL,,
post,,content,varchar,varchar(200),,YES,NULL,,
post,,created,datetime,datetime,,NO,NULL,,
post,,modified,datetime,datetime,,YES,NULL,,
member,,member_id,int,int,PRI,NO,NULL,auto_increment,
member,,email,varchar,varchar(45),UNI,NO,NULL,,
member,,name,varchar,varchar(45),,NO,NULL,,
member,,phone,varchar,varchar(45),,NO,NULL,,
member,,password,varchar,varchar(45),,NO,NULL,,
member,,gender,varchar,varchar(45),,YES,NULL,,
member,,age,varchar,varchar(45),,YES,NULL,,
member,,created,datetime,datetime,,NO,NULL,,
member,,modified,datetime,datetime,,YES,NULL,,
